2013-06-30 00:11:40 Warning: Warning (2): unlink(/var/www/pafe/app/tmp/cache/persistent/cake_core_dir_map) [<a href='http://php.net/function.unlink'>function.unlink</a>]: No such file or directory in [/var/www/pafe/cake/libs/file.php, line 298]
2013-06-30 01:17:04 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'status' in 'where clause'</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-06-30 03:11:28 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'users LEFT Array  WHERE 1 = 1' at line 1</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-06-30 03:23:40 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'users LEFT Array Array  WHERE 1 = 1' at line 1</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-06-30 03:24:44 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'users Users LEFT Array Array  WHERE 1 = 1' at line 1</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-06-30 03:25:07 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'users Users left join Array Array  WHERE 1 = 1' at line 1</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-06-30 03:25:09 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'users Users left join Array Array  WHERE 1 = 1' at line 1</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-06-30 03:25:30 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'users Users left join Array Array  WHERE 1 = 1' at line 1</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-06-30 03:25:48 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'users Users left Array Array  WHERE 1 = 1' at line 1</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-06-30 03:25:57 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'users left Array Array  WHERE 1 = 1' at line 1</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-06-30 03:26:06 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'users left Array  WHERE 1 = 1' at line 1</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-06-30 03:26:23 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'users left join Array  WHERE 1 = 1' at line 1</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-06-30 03:27:26 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Users.idm' in 'on clause'</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-06-30 03:27:40 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Data.idm' in 'on clause'</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-06-30 04:30:43 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Data.idm' in 'on clause'</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-06-30 04:30:53 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'users.idm' in 'on clause'</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-06-30 09:20:33 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1051: Unknown table 'Data'</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-06-30 09:20:42 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'idm' in group statement is ambiguous</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-06-30 09:21:42 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'idm' in group statement is ambiguous</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-06-30 09:22:05 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'idm' in group statement is ambiguous</span> in [/var/www/pafe/cake/libs/model/datasources/dbo_source.php, line 684]
2013-07-16 07:54:53 Warning: Warning (2): Invalid argument supplied for foreach() in [/var/www/html/pafe/app/controllers/test_controller.php, line 36]
2013-07-16 07:55:04 Warning: Warning (2): Invalid argument supplied for foreach() in [/var/www/html/pafe/app/controllers/test_controller.php, line 38]
2013-07-18 04:21:44 Warning: Warning (2): fopen(/pafe/ibc2/id?=A010001B.png) [http://php.net/function.fopen]: failed to open stream: No such file or directory in [/var/www/html/pafe/app/libs/fpdf17/fpdf.php, line 1232]
2013-07-18 04:22:14 Warning: Warning (2): fopen(/pafe/ibc2?id=A010001B.png) [http://php.net/function.fopen]: failed to open stream: No such file or directory in [/var/www/html/pafe/app/libs/fpdf17/fpdf.php, line 1232]
2013-07-18 04:22:41 Warning: Warning (2): fopen(/pafe/ibc2?id=A010001B&ext=.png) [http://php.net/function.fopen]: failed to open stream: No such file or directory in [/var/www/html/pafe/app/libs/fpdf17/fpdf.php, line 1232]
2013-07-18 04:25:18 Warning: Warning (2): fopen(/pafe/ibc2?id=A010001B&ext=.png) [http://php.net/function.fopen]: failed to open stream: No such file or directory in [/var/www/html/pafe/app/libs/fpdf17/fpdf.php, line 1232]
2013-07-18 04:25:20 Warning: Warning (2): fopen(/pafe/ibc2?id=A010001B&ext=.png) [http://php.net/function.fopen]: failed to open stream: No such file or directory in [/var/www/html/pafe/app/libs/fpdf17/fpdf.php, line 1232]
2013-07-18 04:28:59 Warning: Warning (2): fopen(/pafe/ibc2?id=A010001B&ext=.png) [http://php.net/function.fopen]: failed to open stream: No such file or directory in [/var/www/html/pafe/app/libs/fpdf17/fpdf.php, line 1232]
2013-07-18 04:30:10 Warning: Warning (2): fopen(/pafe/ibc2?id=A010001B&ext=.png) [http://php.net/function.fopen]: failed to open stream: No such file or directory in [/var/www/html/pafe/app/libs/fpdf17/fpdf.php, line 1232]
